baseline_id,severe_shortfall_threshold,minimum_consecutive_days,recovery_days,total_episode_count,test_episode_count,target_anchor_date,target_episode_detected,target_onset_date,target_end_date,target_onset_offset_days,target_duration_days,target_severe_days,target_maximum_shortfall_fraction,target_cumulative_capacity_loss
month_weekday_median,0.4,2,7,22,1,2026-03-01,True,2026-02-26,2026-09-06,0,193,191,1.0,454726733.0
month_weekday_median,0.4,3,3,23,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,189,1.0,452327216.0
month_weekday_median,0.4,3,5,16,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,189,1.0,452327216.0
month_weekday_median,0.4,3,7,13,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,189,1.0,452327216.0
month_weekday_median,0.4,5,3,4,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,189,1.0,452327216.0
month_weekday_median,0.4,5,5,4,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,189,1.0,452327216.0
month_weekday_median,0.4,5,7,4,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,189,1.0,452327216.0
month_weekday_median,0.5,2,3,31,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,186,1.0,452327216.0
month_weekday_median,0.5,2,5,23,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,186,1.0,452327216.0
month_weekday_median,0.5,2,7,20,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,186,1.0,452327216.0
month_weekday_median,0.5,3,3,12,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,186,1.0,452327216.0
month_weekday_median,0.5,3,5,10,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,186,1.0,452327216.0
month_weekday_median,0.5,3,7,9,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,186,1.0,452327216.0
month_weekday_median,0.5,5,3,3,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,186,1.0,452327216.0
month_weekday_median,0.5,5,5,3,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,186,1.0,452327216.0
month_weekday_median,0.5,5,7,3,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,186,1.0,452327216.0
month_weekday_median,0.7,2,3,8,3,2026-03-01,True,2026-03-01,2026-06-22,3,114,114,1.0,268795974.5
month_weekday_median,0.7,2,5,5,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,181,1.0,452327216.0
month_weekday_median,0.7,2,7,5,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,181,1.0,452327216.0
month_weekday_median,0.7,3,3,5,3,2026-03-01,True,2026-03-01,2026-06-22,3,114,114,1.0,268795974.5
month_weekday_median,0.7,3,5,3,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,181,1.0,452327216.0
month_weekday_median,0.7,3,7,3,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,181,1.0,452327216.0
